??A,??B,????,????,????,????,????
1,143,同事,58,12,0,0
1,4,同事,58,12,0,0
1,134,朋友?爱人,82,85,0,0
1,181,朋友,72,48,0,0
2,4,同事,58,12,0,0
2,6,同事,58,12,0,0
2,65,朋友?前同事,50,8,8,0
2,12,朋友,72,48,0,0
3,5,同事,58,12,0,0
3,145,同事,58,12,0,0
3,121,朋友,72,48,0,0
3,22,朋友,72,48,0,0
4,33,朋友,72,48,0,0
4,163,朋友,72,48,0,0
5,6,同事,58,12,0,0
5,152,朋友,72,48,0,0
5,24,朋友?爱人,82,85,0,0
6,17,朋友?前同事,50,8,8,0
6,41,朋友,72,48,0,0
7,46,同事,58,12,0,0
7,150,同事,58,12,0,0
7,157,朋友,72,48,0,0
7,57,朋友?爱人,82,85,0,0
8,86,同事,58,12,0,0
8,12,同事,58,12,0,0
8,75,朋友,72,48,0,0
8,38,朋友,72,48,0,0
9,174,同事,58,12,0,0
9,180,同事,58,12,0,0
9,131,朋友,72,48,0,0
9,168,朋友,72,48,0,0
10,61,同事,58,12,0,0
10,78,同事,58,12,0,0
10,185,朋友,72,48,0,0
10,160,朋友,72,48,0,0
11,194,同事,58,12,0,0
11,112,同事,58,12,0,0
11,46,朋友?前同事,50,8,8,0
11,195,朋友,72,48,0,0
12,150,同事,58,12,0,0
12,91,朋友?前同事,50,8,8,0
13,178,同事,58,12,0,0
13,132,同事,58,12,0,0
13,54,朋友,72,48,0,0
13,123,朋友,72,48,0,0
14,95,同事,58,12,0,0
14,111,同事,58,12,0,0
14,86,朋友?前同事,50,8,8,0
14,16,朋友,72,48,0,0
15,172,同事,58,12,0,0
15,110,同事,58,12,0,0
15,41,朋友,72,48,0,0
15,132,朋友,72,48,0,0
16,104,同事,58,12,0,0
16,181,同事,58,12,0,0
16,143,朋友?前同事,50,8,8,0
17,90,同事,58,12,0,0
17,152,同事,58,12,0,0
17,186,朋友,72,48,0,0
18,168,同事,58,12,0,0
18,93,同事,58,12,0,0
18,62,朋友,72,48,0,0
18,119,朋友,72,48,0,0
19,78,同事,58,12,0,0
19,153,同事,58,12,0,0
19,25,朋友?前同事,50,8,8,0
19,66,朋友,72,48,0,0
20,152,同事,58,12,0,0
20,104,同事,58,12,0,0
20,72,朋友?爱人,82,85,0,0
20,110,朋友,72,48,0,0
21,117,同事,58,12,0,0
21,128,同事,58,12,0,0
21,60,朋友?爱人,82,85,0,0
21,161,朋友,72,48,0,0
22,38,同事,58,12,0,0
22,55,同事,58,12,0,0
22,118,朋友,72,48,0,0
23,153,同事,58,12,0,0
23,71,同事,58,12,0,0
23,82,朋友,72,48,0,0
23,141,朋友?前同事,50,8,8,0
24,134,同事,58,12,0,0
24,38,同事,58,12,0,0
24,30,朋友,72,48,0,0
25,141,同事,58,12,0,0
25,137,同事,58,12,0,0
25,143,朋友,72,48,0,0
26,117,同事,58,12,0,0
26,61,同事,58,12,0,0
26,184,朋友,72,48,0,0
26,180,朋友,72,48,0,0
27,91,同事,58,12,0,0
27,182,同事,58,12,0,0
27,115,朋友,72,48,0,0
27,149,朋友?爱人,82,85,0,0
28,105,同事,58,12,0,0
28,75,同事,58,12,0,0
28,181,朋友?爱人,82,85,0,0
28,171,朋友,72,48,0,0
29,83,同事,58,12,0,0
29,185,同事,58,12,0,0
29,123,朋友,72,48,0,0
29,131,朋友,72,48,0,0
30,193,同事,58,12,0,0
30,57,同事,58,12,0,0
30,103,朋友?爱人,82,85,0,0
31,49,同事,58,12,0,0
31,134,同事,58,12,0,0
31,119,朋友,72,48,0,0
31,172,朋友,72,48,0,0
32,89,同事,58,12,0,0
32,44,同事,58,12,0,0
32,137,朋友,72,48,0,0
32,101,朋友,72,48,0,0
33,116,同事,58,12,0,0
33,106,同事,58,12,0,0
33,71,朋友,72,48,0,0
34,197,同事,58,12,0,0
34,187,同事,58,12,0,0
34,111,朋友,72,48,0,0
34,98,朋友,72,48,0,0
35,164,同事,58,12,0,0
35,82,同事,58,12,0,0
35,83,朋友,72,48,0,0
35,121,朋友,72,48,0,0
36,169,同事,58,12,0,0
36,99,同事,58,12,0,0
36,96,朋友,72,48,0,0
36,107,朋友?前同事,50,8,8,0
37,97,同事,58,12,0,0
37,58,同事,58,12,0,0
37,132,朋友?前同事,50,8,8,0
37,191,朋友,72,48,0,0
38,105,朋友,72,48,0,0
39,183,同事,58,12,0,0
39,167,同事,58,12,0,0
39,151,朋友,72,48,0,0
39,88,朋友,72,48,0,0
40,92,同事,58,12,0,0
40,93,同事?朋友,72,48,0,0
40,42,朋友,72,48,0,0
41,142,同事,58,12,0,0
41,100,同事,58,12,0,0
42,119,同事,58,12,0,0
42,76,同事,58,12,0,0
42,140,朋友,72,48,0,0
43,109,同事,58,12,0,0
43,149,同事,58,12,0,0
43,94,朋友,72,48,0,0
43,147,朋友,72,48,0,0
44,131,同事,58,12,0,0
44,129,朋友,72,48,0,0
44,67,朋友?前同事,50,8,8,0
45,199,同事,58,12,0,0
45,157,同事,58,12,0,0
45,149,朋友,72,48,0,0
45,155,朋友?爱人,82,85,0,0
46,196,同事,58,12,0,0
46,67,朋友,72,48,0,0
47,59,同事,58,12,0,0
47,56,同事,58,12,0,0
47,105,朋友,72,48,0,0
47,108,朋友,72,48,0,0
48,62,同事,58,12,0,0
48,89,同事,58,12,0,0
48,84,朋友,72,48,0,0
48,94,朋友,72,48,0,0
49,94,同事,58,12,0,0
49,69,朋友,72,48,0,0
49,53,朋友,72,48,0,0
50,57,同事,58,12,0,0
50,124,同事,58,12,0,0
50,178,朋友,72,48,0,0
50,134,朋友,72,48,0,0
51,159,同事,58,12,0,0
51,92,同事,58,12,0,0
51,160,朋友,72,48,0,0
51,77,朋友,72,48,0,0
52,198,同事,58,12,0,0
52,53,同事,58,12,0,0
52,117,朋友,72,48,0,0
52,187,朋友,72,48,0,0
53,160,同事,58,12,0,0
53,183,朋友,72,48,0,0
54,115,同事,58,12,0,0
54,84,同事,58,12,0,0
54,163,朋友,72,48,0,0
55,107,同事,58,12,0,0
55,99,朋友,72,48,0,0
55,102,朋友,72,48,0,0
56,199,同事,58,12,0,0
56,73,朋友,72,48,0,0
56,154,朋友,72,48,0,0
57,146,朋友,72,48,0,0
58,171,同事,58,12,0,0
58,80,朋友,72,48,0,0
58,183,朋友,72,48,0,0
59,126,同事,58,12,0,0
59,97,朋友?爱人,82,85,0,0
59,156,朋友,72,48,0,0
60,135,同事,58,12,0,0
60,197,同事,58,12,0,0
60,106,朋友,72,48,0,0
61,159,朋友,72,48,0,0
61,68,朋友,72,48,0,0
62,79,同事,58,12,0,0
62,140,朋友,72,48,0,0
63,167,同事,58,12,0,0
63,158,同事,58,12,0,0
63,110,朋友?前同事,50,8,8,0
63,142,朋友,72,48,0,0
64,160,同事,58,12,0,0
64,122,同事,58,12,0,0
64,95,朋友,72,48,0,0
64,116,朋友,72,48,0,0
65,129,同事,58,12,0,0
65,72,同事,58,12,0,0
65,130,朋友,72,48,0,0
66,171,同事,58,12,0,0
66,98,同事,58,12,0,0
66,153,朋友?前同事,50,8,8,0
67,195,同事,58,12,0,0
67,136,同事,58,12,0,0
68,180,同事,58,12,0,0
68,155,同事,58,12,0,0
68,75,朋友,72,48,0,0
69,182,同事,58,12,0,0
69,174,同事,58,12,0,0
69,74,朋友,72,48,0,0
70,112,同事,58,12,0,0
70,88,同事,58,12,0,0
70,197,朋友,72,48,0,0
70,178,朋友,72,48,0,0
71,128,同事,58,12,0,0
71,190,朋友,72,48,0,0
72,198,同事,58,12,0,0
72,85,朋友,72,48,0,0
73,108,同事,58,12,0,0
73,194,同事,58,12,0,0
73,174,朋友,72,48,0,0
74,130,同事,58,12,0,0
74,111,同事,58,12,0,0
74,192,朋友,72,48,0,0
75,94,同事,58,12,0,0
76,114,同事,58,12,0,0
76,80,朋友,72,48,0,0
76,189,朋友,72,48,0,0
77,106,同事,58,12,0,0
77,87,同事,58,12,0,0
77,184,朋友,72,48,0,0
78,164,朋友?前同事,50,8,8,0
78,193,朋友,72,48,0,0
79,102,同事,58,12,0,0
79,133,朋友?前同事,50,8,8,0
79,135,朋友,72,48,0,0
80,151,同事,58,12,0,0
80,147,同事,58,12,0,0
81,125,同事,58,12,0,0
81,123,同事,58,12,0,0
81,172,朋友,72,48,0,0
81,185,朋友,72,48,0,0
82,120,同事,58,12,0,0
82,191,朋友?前同事,50,8,8,0
83,186,同事,58,12,0,0
83,102,朋友,72,48,0,0
84,114,同事,58,12,0,0
84,104,朋友,72,48,0,0
85,137,同事,58,12,0,0
85,144,同事,58,12,0,0
85,146,朋友?爱人,82,85,0,0
86,196,同事,58,12,0,0
86,177,朋友,72,48,0,0
87,190,同事,58,12,0,0
87,120,朋友?前同事,50,8,8,0
87,194,朋友,72,48,0,0
88,103,同事,58,12,0,0
88,104,朋友,72,48,0,0
89,144,朋友,72,48,0,0
89,197,朋友,72,48,0,0
90,96,同事,58,12,0,0
90,182,朋友,72,48,0,0
90,115,朋友?爱人,82,85,0,0
91,100,同事,58,12,0,0
91,167,朋友,72,48,0,0
92,176,朋友,72,48,0,0
92,137,朋友,72,48,0,0
93,196,朋友,72,48,0,0
95,178,同事,58,12,0,0
95,150,朋友,72,48,0,0
96,149,同事,58,12,0,0
96,200,朋友?前同事,50,8,8,0
97,190,同事,58,12,0,0
97,165,朋友,72,48,0,0
98,183,同事,58,12,0,0
98,127,朋友,72,48,0,0
99,156,同事,58,12,0,0
99,109,朋友,72,48,0,0
100,103,朋友,72,48,0,0
100,157,朋友?爱人,82,85,0,0
101,127,同事,58,12,0,0
101,121,同事,58,12,0,0
101,144,朋友,72,48,0,0
102,156,同事,58,12,0,0
103,189,同事,58,12,0,0
105,191,同事,58,12,0,0
106,126,朋友?爱人,82,85,0,0
107,188,同事,58,12,0,0
107,112,朋友,72,48,0,0
108,124,同事,58,12,0,0
108,198,朋友,72,48,0,0
109,147,同事,58,12,0,0
109,153,朋友,72,48,0,0
110,165,同事,58,12,0,0
111,199,朋友,72,48,0,0
112,186,朋友?前同事,50,8,8,0
