NPC代号,层级,职业,隶属地点,住所,工作日,工作时段,序列途径,序列等级,特殊需求
1,official_beyonder,外勤员工,黑荆棘安保公司,1号住所,星期三、星期四、星期五、星期六、星期日,morning、afternoon,不眠者,9,occult_supply:65
2,official_beyonder,外勤员工,黑荆棘安保公司,2号住所,星期一、星期四、星期五、星期六、星期日,morning、afternoon,不眠者,8,occult_supply:65
3,hostile_beyonder,仓库管理员,三号仓库,3号住所,星期一、星期二、星期五、星期六、星期日,morning、afternoon,秘祈人,8,ritual_stability:70、occult_supply:60
4,official_beyonder,外勤员工,黑荆棘安保公司,4号住所,星期一、星期二、星期三、星期六、星期日,morning、afternoon,不眠者,8,occult_supply:65
5,official_beyonder,外勤员工,黑荆棘安保公司,5号住所,星期一、星期二、星期三、星期四、星期日,morning、afternoon,不眠者,7,occult_supply:65
6,official_beyonder,外勤员工,黑荆棘安保公司,6号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,不眠者,7,occult_supply:65
7,official_beyonder,教士,黑夜女神教堂,7号住所,星期二、星期三、星期四、星期五、星期六,morning、afternoon,不眠者,7,occult_supply:65
8,official_beyonder,教士,黑夜女神教堂,8号住所,星期三、星期四、星期五、星期六、星期日,morning、afternoon,不眠者,8,occult_supply:65
9,wild_beyonder,杂货商,市场,9号住所,星期一、星期四、星期五、星期六、星期日,morning、afternoon,学徒,9,occult_supply:65
10,wild_beyonder,银行警卫,银行,10号住所,星期一、星期二、星期五、星期六、星期日,morning、afternoon,怪物,7,occult_supply:65
11,wild_beyonder,酒保,酒馆,11号住所,星期一、星期二、星期三、星期六、星期日,afternoon、evening,学徒,8,occult_supply:65
12,wild_beyonder,教士,黑夜女神教堂,12号住所,星期一、星期二、星期三、星期四、星期日,morning、afternoon,学徒,9,occult_supply:65
13,wild_beyonder,侦探助理,侦探会所,13号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,猎人,7,occult_supply:65
14,wild_beyonder,私家侦探,侦探会所,14号住所,星期二、星期三、星期四、星期五、星期六,morning、afternoon,猎人,8,occult_supply:65
15,wild_beyonder,摊贩,市场,15号住所,星期三、星期四、星期五、星期六、星期日,morning、afternoon,学徒,8,occult_supply:65
16,hostile_beyonder,护工,医院,16号住所,星期一、星期四、星期五、星期六、星期日,morning、afternoon,罪犯,9,crime_control:75、occult_supply:65
17,hostile_beyonder,药剂师,医院,17号住所,星期一、星期二、星期五、星期六、星期日,afternoon、evening,囚犯,9,occult_supply:65
18,hostile_beyonder,餐厅侍者,餐厅,18号住所,星期一、星期二、星期三、星期六、星期日,afternoon、evening,秘祈人,8,ritual_stability:70、occult_supply:60
19,hostile_beyonder,银行警卫,银行,19号住所,星期一、星期二、星期三、星期四、星期日,morning、afternoon,罪犯,7,crime_control:75、occult_supply:65
20,hostile_beyonder,护工,医院,20号住所,星期一、星期二、星期三、星期四、星期五,afternoon、evening,秘祈人,9,ritual_stability:70、occult_supply:60
21,ordinary,银行警卫,银行,21号住所,星期二、星期三、星期四、星期五、星期六,morning、afternoon,,,
22,ordinary,货运书记员,东码头,22号住所,星期三、星期四、星期五、星期六、星期日,morning、afternoon,,,
23,ordinary,会计,银行,23号住所,星期一、星期四、星期五、星期六、星期日,morning、afternoon,,,
24,ordinary,码头调度员,东码头,24号住所,星期一、星期二、星期五、星期六、星期日,late_night、morning,,,
25,ordinary,记者,报社,25号住所,星期一、星期二、星期三、星期六、星期日,morning、afternoon,,,
26,ordinary,银行警卫,银行,26号住所,星期一、星期二、星期三、星期四、星期日,morning、afternoon,,,
27,ordinary,摊贩,市场,27号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
28,ordinary,码头工人,东码头,28号住所,星期二、星期三、星期四、星期五、星期六,morning、afternoon,,,
29,ordinary,医生,医院,29号住所,星期三、星期四、星期五、星期六、星期日,afternoon、evening,,,
30,ordinary,酒保,酒馆,30号住所,星期一、星期四、星期五、星期六、星期日,afternoon、evening,,,
31,ordinary,码头调度员,东码头,31号住所,星期一、星期二、星期五、星期六、星期日,morning、afternoon,,,
32,ordinary,机械师,工厂区,32号住所,星期一、星期二、星期三、星期六、星期日,afternoon、evening,,,
33,ordinary,歌剧演员,歌剧院,33号住所,星期一、星期二、星期三、星期四、星期日,afternoon、evening,,,
34,ordinary,印刷工,报社,34号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
35,ordinary,精神科医生,疯人院,35号住所,星期二、星期三、星期四、星期五、星期六,afternoon、evening,,,
36,ordinary,车间主管,工厂区,36号住所,星期三、星期四、星期五、星期六、星期日,late_night、morning,,,
37,ordinary,售票员,歌剧院,37号住所,星期一、星期四、星期五、星期六、星期日,evening、late_night,,,
38,ordinary,货运书记员,东码头,38号住所,星期一、星期二、星期五、星期六、星期日,afternoon、evening,,,
39,ordinary,乐师,歌剧院,39号住所,星期一、星期二、星期三、星期六、星期日,afternoon、evening,,,
40,ordinary,餐厅侍者,餐厅,40号住所,星期一、星期二、星期三、星期四、星期日,evening、late_night,,,
41,ordinary,裁缝,市场,41号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
42,ordinary,大学教师,大学,42号住所,星期二、星期三、星期四、星期五、星期六,morning、afternoon,,,
43,ordinary,护士,医院,43号住所,星期三、星期四、星期五、星期六、星期日,morning、afternoon,,,
44,ordinary,工厂工人,工厂区,44号住所,星期一、星期四、星期五、星期六、星期日,afternoon、evening,,,
45,ordinary,印刷工,报社,45号住所,星期一、星期二、星期五、星期六、星期日,morning、afternoon,,,
46,ordinary,教士,黑夜女神教堂,46号住所,星期一、星期二、星期三、星期六、星期日,morning、afternoon,,,
47,ordinary,编辑,报社,47号住所,星期一、星期二、星期三、星期四、星期日,morning、afternoon,,,
48,ordinary,车间主管,工厂区,48号住所,星期一、星期二、星期三、星期四、星期五,late_night、morning,,,
49,ordinary,码头工人,东码头,49号住所,星期二、星期三、星期四、星期五、星期六,morning、afternoon,,,
50,ordinary,酒馆侍者,酒馆,50号住所,星期三、星期四、星期五、星期六、星期日,afternoon、evening,,,
51,ordinary,餐厅经理,餐厅,51号住所,星期一、星期四、星期五、星期六、星期日,afternoon、evening,,,
52,ordinary,占卜师,廷根占卜俱乐部,52号住所,星期一、星期二、星期五、星期六、星期日,morning、afternoon,,,
53,ordinary,俱乐部接待员,廷根占卜俱乐部,53号住所,星期一、星期二、星期三、星期六、星期日,morning、afternoon,,,
